pressure,temperature,vf,vg,hf,hg,sf,sg
9929.35,310.4764,0.0015,0.0182,1405.0071,2726.7807,3.3556,5.6203
10000,311,0.001452,0.018028,1407.8,2725.5,3.3603,5.6159
10149.98,312.0932,0.0015,0.0177,1414.5235,2722.7296,3.3713,5.6066
10370.61,313.683,0.0015,0.0172,1423.9554,2718.5958,3.3869,5.593
10591.24,315.2469,0.0015,0.0168,1433.3081,2714.379,3.4022,5.5795
10811.87,316.7856,0.0015,0.0163,1442.5862,2710.0786,3.4174,5.566
11000,318.08,0.001488,0.015988,1450.2,2706.3,3.4299,5.5544
11032.5,318.3001,0.0015,0.0159,1451.7944,2705.6939,3.4325,5.5525
11253.13,319.7912,0.0015,0.0155,1460.9373,2701.224,3.4473,5.5391
11473.76,321.2597,0.0015,0.0151,1470.0191,2696.668,3.4621,5.5257
11694.39,322.7063,0.0015,0.0148,1479.0441,2692.0247,3.4767,5.5124
11915.02,324.1317,0.0015,0.0144,1488.0165,2687.2928,3.4912,5.4991
12000,324.68,0.001526,0.014264,1491.3,2685.4,3.4964,5.4939
12135.65,325.5365,0.0015,0.0141,1496.9404,2682.4708,3.5055,5.4857
12356.28,326.9214,0.0015,0.0137,1505.8196,2677.5572,3.5198,5.4724
12576.91,328.287,0.0015,0.0134,1514.6582,2672.5501,3.5339,5.4591
12797.54,329.6338,0.0016,0.0131,1523.4601,2667.4476,3.548,5.4458
13000,330.85,0.001566,0.012781,1531.4,2662.7,3.5606,5.4336
13018.17,330.9624,0.0016,0.0128,1532.2293,2662.2474,3.5619,5.4325
13238.8,332.2733,0.0016,0.0125,1540.9696,2656.9474,3.5758,5.4191
13459.43,333.5669,0.0016,0.0122,1549.6851,2651.5448,3.5896,5.4057
13680.06,334.8437,0.0016,0.0119,1558.3798,2646.037,3.6033,5.3923
13900.69,336.1042,0.0016,0.0116,1567.0578,2640.4208,3.617,5.3788
14000,336.67,0.00161,0.011487,1571,2637.9,3.6232,5.3728
14121.32,337.3488,0.0016,0.0113,1575.7233,2634.6929,3.6307,5.3653
14341.95,338.5779,0.0016,0.0111,1584.3808,2628.8498,3.6442,5.3516
14562.58,339.7919,0.0016,0.0108,1593.0347,2622.8875,3.6578,5.338
14783.21,340.9911,0.0016,0.0106,1601.6898,2616.8017,3.6713,5.3242
15000,342.16,0.001657,0.010341,1610.3,2610.8,3.6848,5.3108
15003.84,342.1759,0.0017,0.0103,1610.3512,2610.5878,3.6848,5.3103
15224.47,343.3466,0.0017,0.0101,1619.0242,2604.2408,3.6983,5.2964
15445.1,344.5036,0.0017,0.0099,1627.7142,2597.7549,3.7118,5.2823
15665.73,345.6472,0.0017,0.0096,1636.4275,2591.1242,3.7253,5.2681
15886.36,346.7776,0.0017,0.0094,1645.1705,2584.3418,3.7388,5.2537
16000,347.36,0.00171,0.009312,1649.9,2581,3.7461,5.2466
16106.99,347.8952,0.0017,0.0092,1653.95,2577.4006,3.7523,5.2392
16327.62,349.0001,0.0017,0.009,1662.7738,2570.2922,3.7659,5.2246
16548.25,350.0928,0.0017,0.0088,1671.6499,2563.0077,3.7795,5.2097
16768.88,351.1734,0.0018,0.0086,1680.5873,2555.537,3.7932,5.1947
16989.51,352.2422,0.0018,0.0084,1689.5958,2547.869,3.807,5.1794
17000,352.29,0.00177,0.008374,1690.3,2547.7,3.8082,5.1791
17210.14,353.2994,0.0018,0.0082,1698.6858,2539.9909,3.8209,5.1639
17430.77,354.3452,0.0018,0.008,1707.8692,2531.8887,3.835,5.1481
17651.4,355.3799,0.0018,0.0078,1717.1584,2523.5463,3.8491,5.1321
17872.03,356.4036,0.0018,0.0076,1726.5673,2514.9452,3.8634,5.1157
18000,356.99,0.00184,0.007504,1732.2,2510,3.872,5.1064
18092.66,357.4166,0.0018,0.0074,1736.1111,2506.0646,3.8779,5.099
18313.29,358.419,0.0019,0.0072,1745.8061,2496.8799,3.8926,5.0819
18533.92,359.411,0.0019,0.0071,1755.6702,2487.3629,3.9076,5.0643
18754.55,360.3928,0.0019,0.0069,1765.723,2477.4799,3.9228,5.0463
18975.18,361.3645,0.0019,0.0067,1775.9856,2467.1911,3.9383,5.0277
19000,361.47,0.001926,0.006677,1776.8,2466,3.9396,5.0256
19195.81,362.3263,0.0019,0.0065,1786.4818,2456.4484,3.9542,5.0085
19416.44,363.2782,0.002,0.0063,1797.2385,2445.1931,3.9704,4.9885
19637.07,364.2204,0.002,0.0062,1808.2879,2433.3522,3.9871,4.9678
19857.7,365.1529,0.002,0.006,1819.6704,2420.8338,4.0042,4.9461
20000,365.75,0.002038,0.005862,1826.6,2412.1,4.0146,4.931
20078.33,366.0758,0.0021,0.0058,1831.4413,2407.5196,4.022,4.9232
20298.96,366.9891,0.0021,0.0056,1843.68,2393.2538,4.0404,4.8989
20519.59,367.8927,0.0021,0.0054,1856.507,2377.8254,4.0597,4.8729
20740.22,368.7867,0.0022,0.0052,1870.112,2360.9398,4.0802,4.8448
20960.85,369.671,0.0022,0.005,1884.8033,2342.167,4.1023,4.8138
21000,369.83,0.002207,0.004994,1888,2338.4,4.1071,4.8076
21181.48,370.5455,0.0022,0.0048,1901.1025,2320.8435,4.1269,4.7789
21402.11,371.4104,0.0023,0.0046,1919.9424,2295.8595,4.1553,4.7385
21622.74,372.2657,0.0024,0.0043,1943.1131,2265.0967,4.1904,4.6893
21843.37,373.1114,0.0025,0.004,1974.6151,2223.1885,4.2384,4.623
22000,373.71,0.002703,0.003644,2011.1,2172.6,4.2942,4.5439
22064,373.95,0.003106,0.003106,2084.3,2084.3,4.407,4.407
